title,price,image,link
RED TAPE Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women - Buy RED TAPE Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,"₹1,097",http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/v/q/c/-original-imahjhjny4eytrcj.jpeg,https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmb05ff265eedc4?pid=SHOHFMMNY3NH5RF7&lid=LSTSHOHFMMNY3NH5RF7STHW39&marketplace=FLIPKART&store=osp%2Fiko&srno=b_5_181&otracker=browse&fm=organic&iid=en_f7JKUsECovL6sPfpspxIHcrKXQsj1skpCF6wKIAhppNCZkxrezd_Q-FLAQhtVaARb4tHyIOTGHTaXoq1mBxl6Q891ypMzu4_aryI8_sihJ8%3D&ppt=browse&ppn=browse&ssid=rv8kbcwm0g0000001768217685626
DOCTOR ORTHO PLUS COMFY Women Slippers - Buy DOCTOR ORTHO PLUS COMFY Women Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹294,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/o/b/w/-original-imahg24ysdhw5m7e.jpeg,https://www.flipkart.com/doctor-ortho-plus-comfy-women-slippers/p/itm61b085ba1f81c?pid=SFFGXMGT4DFFBRZR&lid=LSTSFFGXMGT4DFFBRZRFLH3VR&marketplace=FLIPKART&store=osp%2Fiko&srno=b_6_240&otracker=browse&fm=organic&iid=f0ec5d5e-8cde-411a-b47a-397608c662d8.SFFGXMGT4DFFBRZR.SEARCH&ppt=browse&ppn=browse&ssid=4gjh0jlq4w0000001768217711169
Shoestail Women Flats - Buy Shoestail Women Flats Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹209,http://rukmini1.flixcart.com/image/300/300/xif0q/sandal/x/s/i/-original-imahftqtcwhuuzft.jpeg,https://www.flipkart.com/shoestail-women-flats/p/itm1502732d3f8ad?pid=SNDGXGS2TUWMXFSC&lid=LSTSNDGXGS2TUWMXFSCSDEXRT&marketplace=FLIPKART
CAMPUS CAMP ELOY Walking Shoes For Women - Buy CAMPUS CAMP ELOY Walking Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹949,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/o/c/l/5-22l-134-5-campus-mauve-original-imahjghjzyzxghvt.jpeg,https://www.flipkart.com/campus-camp-eloy-walking-shoes-women/p/itmd181ea713e1c2?pid=SHOGMNPS5XZEGXUJ&lid=LSTSHOGMNPS5XZEGXUJKJWPFX&marketplace=FLIPKART&store=osp%2Fiko&srno=b_3_86&otracker=browse&fm=organic&iid=6c44bfeb-343c-45c8-91a5-ad71489c88b8.SHOGMNPS5XZEGXUJ.SEARCH&ppt=browse&ppn=browse&ssid=klhjglhwnk0000001768217633159
TWO SOFT Women Combo Pack Of 2 Stylish Casual Light & Soft Comfortable Daily Wear Slippers - Buy TWO SOFT Women Combo Pack Of 2 Stylish Casual Light & Soft Comfortable Daily Wear Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹263,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/f/1/z/-original-imahftr8j3edee4f.jpeg,https://www.flipkart.com/two-soft-women-combo-pack-2-stylish-casual-light-comfortable-daily-wear-slippers/p/itm52d5fb8753745?pid=SFFGMBGHBKTXYZ3S&lid=LSTSFFGMBGHBKTXYZ3SOWUFV9&marketplace=FLIPKART&store=osp%2Fiko&srno=b_4_127&otracker=browse&fm=organic&iid=en_WHhG8YsXXwkiRjUYlmwgD9BAqwGJuWbnzd4bjAFgi-jvezzP-i81PwM1y0KlSbCTw4wxH2uVoqXaKrtSPTtxFA%3D%3D&ppt=browse&ppn=browse&ssid=1c4h6t4nm80000001768217660033
Skechers SUMMITS Walking Shoes For Women - Buy Skechers SUMMITS Walking Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,"₹2,929",http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/7/u/k/-original-imahgbva8qtughxb.jpeg,https://www.flipkart.com/skechers-summits-walking-shoes-women/p/itm428ea7bc9724c?pid=SHOH8VPYWZE8XHWU&lid=LSTSHOH8VPYWZE8XHWUZFVDAJ&marketplace=FLIPKART&store=osp%2Fiko&srno=b_9_323&otracker=browse&fm=organic&iid=ab728638-e26f-4894-a84f-624326f8b33b.SHOH8VPYWZE8XHWU.SEARCH&ppt=browse&ppn=browse&ssid=q3t9aelb0g0000001768217788313
VECHLO 5004 Sneakers Shoes for Women And Girls Boots For Women - Buy VECHLO 5004 Sneakers Shoes for Women And Girls Boots For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹648,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/g/v/v/4-boots-37-vechlo-black-2-original-imahhbfuhtrjzbdg.jpeg,https://www.flipkart.com/vechlo-5004-sneakers-shoes-women-girls-boots/p/itmd75fe6d6d3c63?pid=SHOHDY5BQZBSZNBY&lid=LSTSHOHDY5BQZBSZNBYFVGRP8&marketplace=FLIPKART&store=osp%2Fiko&srno=b_5_179&otracker=browse&fm=organic&iid=1d0f9c65-1128-48dd-8659-6de630a99721.SHOHDY5BQZBSZNBY.SEARCH&ppt=browse&ppn=browse&ssid=rv8kbcwm0g0000001768217685626
Sparx SL 168 Running Shoes For Women - Buy Sparx SL 168 Running Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹899,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/k/s/a/-original-imahd2zmkuuh36fc.jpeg,https://www.flipkart.com/sparx-sl-168-running-shoes-women/p/itmc6991047b3e43?pid=SHOH2AZECEJ7DNGX&lid=LSTSHOH2AZECEJ7DNGXRDMXUR&marketplace=FLIPKART&store=osp%2Fiko&srno=b_4_146&otracker=browse&fm=organic&iid=556970d9-3c81-489d-ae31-88816e257a8a.SHOH2AZECEJ7DNGX.SEARCH&ppt=browse&ppn=browse&ssid=1c4h6t4nm80000001768217660033
Ortho + Rest Women Women Orthopedic Doctor Soft Slipper | Pregnancy Non-Slip | Diabetic | Daily Use Flip Flops - Buy Ortho + Rest Women Women Orthopedic Doctor Soft Slipper | Pregnancy Non-Slip | Diabetic | Daily Use Flip Flops Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹492,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/z/w/e/-original-imahftr8a6a77pxd.jpeg,https://www.flipkart.com/ortho-rest-women-orthopedic-doctor-soft-slipper-pregnancy-non-slip-diabetic-daily-use-flip-flops/p/itm88f31b98587ac?pid=SFFG42SP5GV4ZXYF&lid=LSTSFFG42SP5GV4ZXYFKLXMD8&marketplace=FLIPKART
TRYME Women Heels - Buy TRYME Women Heels Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹711,http://rukmini1.flixcart.com/image/300/300/xif0q/kids-sandal/w/a/o/8-6sbzhl1154-kid-tryme-original-imahgfg6w5z7wsae.jpeg,https://www.flipkart.com/tryme-women-heels/p/itm3ef15f61a7f25?pid=SNDGWTMWSKXRSGBG&lid=LSTSNDGWTMWSKXRSGBGLPMEVT&marketplace=FLIPKART&store=osp%2Fiko&srno=b_4_126&otracker=browse&fm=organic&iid=556970d9-3c81-489d-ae31-88816e257a8a.SNDGWTMWSKXRSGBG.SEARCH&ppt=browse&ppn=browse&ssid=1c4h6t4nm80000001768217660033
TWO SOFT Women Pack Of 2 Combo Stylish Extra Comfort Lightweight Dailywear Used Slippers - Buy TWO SOFT Women Pack Of 2 Combo Stylish Extra Comfort Lightweight Dailywear Used Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹262,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/t/0/p/-original-imahftsfsuurdgb5.jpeg,https://www.flipkart.com/two-soft-women-pack-2-combo-stylish-extra-comfort-lightweight-dailywear-used-slippers/p/itme4acf33b1a2c6?pid=SFFGFM6RMYXSZUAZ&lid=LSTSFFGFM6RMYXSZUAZIQZGZ0&marketplace=FLIPKART&store=osp%2Fiko&srno=b_10_395&otracker=browse&fm=organic&iid=en_3dUWU43jpo-qaduAE1LpOAfxHDghg0G-M7HYrkbdc3-3sEn0BKJWSZns1HcxmqV9BAjQ9dDD2c1evqM86_00FA%3D%3D&ppt=browse&ppn=browse&ssid=0lcxqjy7lc0000001768217813328
